Liga,time,pct_marcou_1gol_casa,pct_marcou_1gol_fora,pct_marcou_1gol_geral,avg_min_marcou_1gol_casa,avg_min_marcou_1gol_fora,avg_min_sofreu_1gol_casa,avg_min_sofreu_1gol_fora,dp_min_marcou_1gol_casa,dp_min_marcou_1gol_fora,dp_min_sofreu_1gol_casa,dp_min_sofreu_1gol_fora,cv_min_marcou_1gol_casa,cv_min_marcou_1gol_fora,cv_min_sofreu_1gol_casa,cv_min_sofreu_1gol_fora,n_marcou_1gol_casa,n_sofreu_1gol_casa,n_marcou_1gol_fora,n_sofreu_1gol_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Inglaterra_3 League One,Wycombe Wanderers,58,42,50,14.3,33.0,32.2,23.5,9.3,24.1,27.0,19.3,64.9,72.9,83.7,82.2,11,8,8,8,15.8,0.0,36.8,18.8,0.0,12.5,5.3,6.2,0.0,0.0,0.0,6.2,0.0,0.0,0.0,6.2,0.0,0.0
Italia_1 Serie A,AC Milan,57,67,62,39.8,43.5,39.3,28.0,25.0,26.3,24.1,26.4,62.9,60.4,61.3,94.4,8,6,10,4,14.3,7.1,0.0,14.3,0.0,0.0,14.3,14.3,7.1,7.1,7.1,7.1,7.1,14.3,7.1,0.0,0.0,7.1
Italia_1 Serie A,Atalanta,53,50,52,18.5,58.6,30.2,35.3,13.0,25.9,20.7,22.2,70.1,44.2,68.6,62.9,8,6,7,6,7.1,0.0,35.7,0.0,0.0,7.7,7.1,7.7,7.1,15.4,0.0,0.0,0.0,0.0,0.0,7.7,0.0,15.4
Italia_1 Serie A,Bologna,43,53,48,50.7,42.4,46.9,31.1,16.7,24.8,27.8,22.5,32.9,58.5,59.2,72.3,6,7,8,7,0.0,6.7,0.0,0.0,7.7,6.7,0.0,13.3,23.1,13.3,7.7,6.7,0.0,0.0,7.7,0.0,0.0,6.7
Italia_1 Serie A,Cagliari,33,27,30,54.0,36.0,35.5,27.1,23.6,17.5,23.9,30.0,43.7,48.7,67.2,110.6,4,10,4,10,0.0,0.0,0.0,0.0,0.0,14.3,14.3,7.1,0.0,0.0,0.0,0.0,7.1,7.1,0.0,0.0,7.1,0.0
Italia_1 Serie A,Como,60,50,55,17.2,26.1,23.8,28.4,13.8,21.9,18.6,28.5,79.9,83.8,78.3,100.2,9,4,7,5,30.8,8.3,23.1,25.0,0.0,0.0,7.7,16.7,7.7,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0
Italia_1 Serie A,Cremonese,36,20,28,35.2,21.0,27.0,34.1,32.0,14.8,31.3,30.8,90.9,70.5,115.8,90.3,5,6,3,10,18.2,7.7,0.0,0.0,0.0,7.7,9.1,7.7,0.0,0.0,9.1,0.0,0.0,0.0,9.1,0.0,0.0,0.0
Italia_1 Serie A,Fiorentina,43,40,41,37.1,33.7,25.5,34.7,32.4,22.8,11.7,22.6,87.3,67.6,46.1,65.0,7,6,6,7,7.7,7.7,15.4,7.7,7.7,15.4,0.0,0.0,7.7,0.0,0.0,7.7,7.7,7.7,0.0,0.0,7.7,0.0
Italia_1 Serie A,Genoa,38,57,47,18.8,32.8,37.9,28.5,17.5,20.1,35.4,20.1,92.7,61.5,93.5,70.6,6,8,8,4,14.3,8.3,14.3,16.7,7.1,8.3,0.0,16.7,0.0,0.0,7.1,0.0,0.0,16.7,0.0,0.0,0.0,0.0
Italia_1 Serie A,Hellas Verona,21,20,21,21.3,26.3,33.2,27.4,7.6,13.8,28.8,21.2,35.8,52.4,86.7,77.3,3,9,3,9,0.0,0.0,8.3,8.3,16.7,8.3,0.0,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italia_1 Serie A,Inter Milan,87,79,83,25.8,30.5,32.5,27.3,22.9,27.1,30.4,11.6,89.0,89.1,93.6,42.4,13,2,11,3,20.0,21.4,33.3,28.6,6.7,0.0,13.3,0.0,0.0,7.1,0.0,0.0,6.7,14.3,6.7,7.1,0.0,0.0
Italia_1 Serie A,Juventus,50,60,55,30.0,37.5,35.2,27.0,21.9,28.8,16.1,23.7,73.1,76.7,45.9,87.9,7,5,8,7,8.3,6.7,16.7,20.0,8.3,0.0,0.0,6.7,8.3,0.0,16.7,0.0,0.0,6.7,0.0,13.3,0.0,0.0
Italia_1 Serie A,Lazio,60,36,48,31.1,58.4,22.0,38.4,23.5,33.7,16.8,26.4,75.5,57.7,76.5,68.7,9,5,5,5,21.4,10.0,0.0,0.0,14.3,0.0,7.1,0.0,0.0,10.0,14.3,0.0,7.1,0.0,0.0,20.0,0.0,10.0
