Liga,time,total_jogos_ca,total_jogos_fo,total_jogos_ht_ca,total_jogos_ht_fo,over05_ht_casa,over15_ht_casa,over25_ht_casa,over05_ht_fora,over15_ht_fora,over25_ht_fora,over05_2h_casa,over15_2h_casa,over25_2h_casa,over05_2h_fora,over15_2h_fora,over25_2h_fora,media_gols_ht_casa,media_gols_ht_fora,media_gols_2h_casa,media_gols_2h_fora,%Gl_Ca_0_10M,%Gl_Fo_0_10M,%Gl_Ca_11_20M,%Gl_Fo_11_20M,%Gl_Ca_21_30M,%Gl_Fo_21_30M,%Gl_Ca_31_40M,%Gl_Fo_31_40M,%Gl_Ca_41_50M,%Gl_Fo_41_50M,%Gl_Ca_51_60M,%Gl_Fo_51_60M,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Espanha_2 Segunda Division,Real Sociedad II,15,15,15,15,80.0,46.7,6.7,53.3,26.7,6.7,80.0,46.7,13.3,86.7,53.3,6.7,1.4,1.07,1.47,1.73,26.7,6.7,6.7,13.3,26.7,6.7,26.7,6.7,26.7,20.0,13.3,0.0,20.0,6.7,0.0,33.3,20.0,33.3
Espanha_2 Segunda Division,Real Valladolid,15,15,15,15,66.7,20.0,6.7,73.3,40.0,20.0,80.0,33.3,20.0,80.0,46.7,13.3,0.93,1.47,1.4,1.4,6.7,6.7,0.0,0.0,26.7,0.0,0.0,20.0,6.7,33.3,20.0,33.3,6.7,13.3,13.3,6.7,33.3,6.7
Espanha_2 Segunda Division,Real Zaragoza,15,15,15,15,40.0,13.3,0.0,73.3,26.7,0.0,80.0,60.0,26.7,66.7,26.7,13.3,0.53,1.0,1.67,1.27,0.0,13.3,6.7,6.7,6.7,13.3,6.7,6.7,6.7,0.0,6.7,13.3,6.7,0.0,26.7,6.7,13.3,33.3
Espanha_2 Segunda Division,SD Eibar,16,14,16,14,62.5,18.8,0.0,64.3,21.4,7.1,81.2,50.0,6.2,64.3,21.4,7.1,0.81,0.93,1.44,0.93,6.2,7.1,0.0,0.0,18.8,14.3,12.5,0.0,25.0,0.0,25.0,14.3,18.8,7.1,18.8,0.0,31.2,7.1
Espanha_2 Segunda Division,SD Huesca,16,15,16,15,75.0,31.2,6.2,60.0,26.7,20.0,81.2,37.5,6.2,73.3,40.0,13.3,1.12,1.07,1.25,1.4,6.2,0.0,18.8,0.0,6.2,20.0,6.2,6.7,12.5,0.0,0.0,20.0,0.0,0.0,31.2,0.0,37.5,26.7
Espanha_2 Segunda Division,Sporting Gijón,16,14,16,14,62.5,31.2,12.5,64.3,21.4,14.3,81.2,50.0,31.2,92.9,35.7,14.3,1.12,1.07,1.62,1.5,6.2,14.3,12.5,21.4,18.8,14.3,6.2,0.0,25.0,21.4,25.0,0.0,12.5,7.1,31.2,14.3,25.0,21.4
Espanha_2 Segunda Division,UD Las Palmas,15,15,15,15,80.0,33.3,20.0,40.0,6.7,6.7,46.7,20.0,13.3,73.3,53.3,13.3,1.47,0.53,0.8,1.4,13.3,6.7,20.0,13.3,13.3,6.7,40.0,6.7,20.0,6.7,20.0,33.3,13.3,0.0,0.0,6.7,13.3,26.7
Franca_1 Ligue 1,Angers SCO,13,14,13,14,69.2,15.4,7.7,64.3,7.1,7.1,69.2,46.2,7.7,71.4,35.7,21.4,1.08,0.79,1.31,1.36,7.7,0.0,15.4,7.1,7.7,7.1,0.0,7.1,7.7,0.0,23.1,14.3,0.0,7.1,15.4,0.0,46.2,14.3
Franca_1 Ligue 1,Auxerre,13,13,13,13,53.8,15.4,15.4,61.5,30.8,15.4,53.8,23.1,7.7,69.2,30.8,15.4,0.85,1.15,1.08,1.15,0.0,23.1,0.0,0.0,0.0,15.4,15.4,7.7,7.7,0.0,15.4,0.0,15.4,0.0,7.7,15.4,15.4,7.7
Franca_1 Ligue 1,Brest,13,13,13,13,76.9,53.8,15.4,69.2,46.2,15.4,61.5,30.8,15.4,92.3,46.2,15.4,1.46,1.31,1.08,1.54,30.8,0.0,0.0,15.4,15.4,23.1,15.4,15.4,23.1,7.7,15.4,15.4,7.7,7.7,38.5,0.0,7.7,23.1
Franca_1 Ligue 1,Le Havre,14,12,14,12,64.3,28.6,14.3,50.0,16.7,0.0,64.3,14.3,7.1,66.7,33.3,16.7,1.07,0.67,0.86,1.42,0.0,0.0,7.1,0.0,14.3,8.3,0.0,0.0,28.6,8.3,14.3,0.0,7.1,16.7,14.3,0.0,21.4,8.3
Franca_1 Ligue 1,Lens,14,13,14,13,85.7,35.7,7.1,76.9,38.5,15.4,85.7,42.9,21.4,84.6,53.8,15.4,1.29,1.38,1.57,1.54,14.3,7.7,21.4,7.7,21.4,15.4,7.1,30.8,42.9,23.1,50.0,23.1,21.4,7.7,28.6,7.7,14.3,53.8
Franca_1 Ligue 1,Lille,13,13,13,13,46.2,23.1,0.0,76.9,15.4,7.7,76.9,61.5,30.8,76.9,38.5,23.1,0.69,1.0,1.92,2.0,7.7,23.1,0.0,7.7,7.7,7.7,15.4,0.0,7.7,23.1,7.7,7.7,15.4,7.7,23.1,30.8,69.2,46.2
Franca_1 Ligue 1,Lorient,13,13,13,13,84.6,23.1,23.1,61.5,23.1,15.4,84.6,53.8,30.8,84.6,38.5,15.4,1.38,1.0,2.08,1.46,15.4,7.7,15.4,0.0,7.7,7.7,30.8,0.0,30.8,15.4,30.8,0.0,30.8,15.4,15.4,7.7,23.1,30.8
Franca_1 Ligue 1,Metz,13,13,13,13,53.8,23.1,23.1,92.3,69.2,15.4,76.9,53.8,15.4,84.6,53.8,30.8,1.31,1.77,1.46,2.0,0.0,7.7,7.7,7.7,7.7,23.1,15.4,0.0,7.7,7.7,7.7,7.7,7.7,7.7,0.0,7.7,46.2,23.1
Franca_1 Ligue 1,Monaco,14,12,14,12,71.4,35.7,21.4,58.3,8.3,8.3,85.7,50.0,35.7,75.0,58.3,41.7,1.43,0.83,2.0,2.0,14.3,8.3,7.1,0.0,28.6,8.3,21.4,0.0,35.7,16.7,21.4,16.7,21.4,16.7,21.4,33.3,35.7,33.3
Franca_1 Ligue 1,Nantes,13,12,13,12,76.9,38.5,15.4,58.3,16.7,16.7,76.9,30.8,7.7,75.0,33.3,25.0,1.46,1.0,1.23,1.42,15.4,16.7,7.7,0.0,0.0,0.0,15.4,16.7,15.4,16.7,7.7,0.0,7.7,8.3,7.7,8.3,15.4,16.7
