Liga,time,total_jogos_casa,total_jogos_fora,pct_marcou_M60_casa,pct_marcou_M60_fora,avg_min_M60_casa,avg_min_M60_fora,dp_min_M60_casa,dp_min_M60_fora,cv_min_M60_casa,cv_min_M60_fora,n_marcou_M60_casa,n_marcou_M60_fora,%Gl_Ca_61_70M,%Gl_Fo_61_70M,%Gl_Ca_71_80M,%Gl_Fo_71_80M,%Gl_Ca_81_90M,%Gl_Fo_81_90M
Italia_2 Serie B,Juve Stabia,16,16,43.8,25.0,75.9,66.5,8.9,5.2,11.7,7.8,7,4,12.5,18.8,18.8,6.2,25.0,0.0
Italia_2 Serie B,Mantova,16,16,50.0,31.2,84.9,79.2,9.8,12.1,11.6,15.2,8,5,6.2,12.5,6.2,0.0,50.0,18.8
Italia_2 Serie B,Modena,17,14,47.1,35.7,76.6,79.2,12.7,10.0,16.6,12.6,8,5,23.5,7.1,5.9,14.3,29.4,21.4
Italia_2 Serie B,Monza,16,16,50.0,37.5,71.1,80.8,8.2,12.5,11.6,15.5,8,6,25.0,12.5,18.8,6.2,25.0,18.8
Italia_2 Serie B,Palermo,16,16,37.5,37.5,73.8,76.7,8.4,9.0,11.4,11.8,6,6,12.5,12.5,12.5,18.8,31.2,25.0
Italia_2 Serie B,Pescara,16,16,43.8,25.0,76.7,86.0,11.5,9.5,15.0,11.0,7,4,12.5,0.0,31.2,6.2,31.2,18.8
Italia_2 Serie B,Reggiana,15,17,26.7,17.6,70.8,71.0,7.3,15.6,10.3,22.0,4,3,13.3,11.8,13.3,0.0,6.7,5.9
Italia_2 Serie B,Sampdoria,16,16,50.0,43.8,78.0,83.7,11.3,8.8,14.5,10.5,8,7,25.0,6.2,12.5,6.2,31.2,31.2
Italia_2 Serie B,Spezia,16,16,25.0,31.2,85.8,78.6,11.3,13.1,13.2,16.7,4,5,6.2,12.5,0.0,6.2,18.8,37.5
Italia_2 Serie B,Südtirol,16,16,6.2,43.8,94.0,77.1,,9.2,,11.9,1,7,0.0,6.2,0.0,31.2,6.2,25.0
Italia_2 Serie B,Venezia,16,16,56.2,43.8,78.6,67.0,7.6,5.1,9.7,7.6,9,7,6.2,31.2,25.0,18.8,31.2,12.5
Italia_2 Serie B,Virtus Entella,16,16,56.2,25.0,82.4,78.2,9.4,8.5,11.4,10.9,9,4,12.5,0.0,0.0,18.8,50.0,6.2
Portugal_1 Primeira Liga,AVS,14,13,21.4,23.1,74.7,81.0,12.5,7.9,16.7,9.8,3,3,7.1,0.0,7.1,15.4,14.3,23.1
Portugal_1 Primeira Liga,Alverca,14,13,57.1,38.5,85.1,79.4,9.1,14.4,10.7,18.1,8,5,7.1,15.4,7.1,7.7,42.9,23.1
